"Equipo_A";"Equipo_B";"res_win";"res_tied";"res_lost";"final_predict"
"Argentina";"Australia";0.681327602338545;0.196203570573268;0.161085135631255;"win"
"Poland";"England";0.331419798475363;0.320107887651816;0.0570693294408042;"win"
"France";"Iceland";0.302224446983866;0.251537042528391;0.0954599683234828;"win"
"Uruguay";"Iran";0.584772300951643;0.109068820488841;0.189856242069569;"win"
"Spain";"Russia";0.554694893269468;0.225702811353859;0.0872535777057467;"win"
"Belgium";"Senegal";0.231682854885835;0.125245996294576;0.157160177057509;"win"
"Brazil";"Sweden";0.493486106062864;0.189921341034664;0.061714934886441;"win"
"Germany";"Switzerland";0.622986395437304;0.141636911065909;0.193413584199512;"win"
