Position;Posición_def
CAM;Centrocampista
CB;Defensa
CDM;Defensa
CF;Delantero
CM;Centrocampista
GK;Arquero
LAM;Centrocampista
LB;Defensa
LCB;Defensa
LCM;Centrocampista
LDM;Centrocampista
LF;Delantero
LM;Centrocampista
LS;Delantero
LW;Centrocampista
LWB;Defensa
RAM;Centrocampista
RB;Defensa
RCB;Defensa
RCM;Centrocampista
RDM;Centrocampista
RF;Delantero
RM;Centrocampista
RS;Delantero
RW;Centrocampista
RWB;Defensa
ST;Delantero
Sub;
