Selección,Nombre Jugador,Posición,Club ,Titular,Suplente,Ingreso
Senegal,Ismaïla Sarr,Delantero,Rennes,,,
Senegal,M’Baye Niang,Delantero,Torino,,,
Senegal,Moussa Sow,Delantero,Bursaspor,,,
Senegal,Mame Biram Diouf,Delantero,Stoke City,,,
Senegal,Moussa Konaté,Delantero,Amiens,,,
Senegal,Diafra Sakho,Delantero,Rennes,,,
Colombia,David Ospina,Arquero,Arsenal,,,
Colombia,Camilo Vargas,Arquero,Deportivo Cali,,,
Colombia,José Fernando Cuadrado,Arquero,Once Caldas,,,
Colombia,Santiago Arias,Defensa,PSV,,,
Colombia,Yerri Mina,Defensa,Barcelona,,,
Colombia,Johan Mojica,Defensa,Girona,,,
Colombia,Óscar Murillo,Defensa,Pachuca,,,
Colombia,Davinson Sánchez,Defensa,Tottenham,,,
Colombia,Cristian Zapata,Defensa,Milan,,,
Colombia,Farid Díaz,Defensa,Olimpia,,,
Colombia,Abel Aguilar,Centrocampista,Deportivo Cali,,,
Colombia,Wilmar Barrios,Centrocampista,Boca Juniors,,,
Colombia,Juan Guillermo Cuadrado,Centrocampista,Juventus,,,
Colombia,Jefferson Lerma,Centrocampista,Levante,,,
Colombia,Juan Fernando Quintero,Centrocampista,River Plate,,,
Colombia,Carlos Sánchez,Centrocampista,Espanyol,,,
Colombia,James Rodríguez,Centrocampista,Bayern,,,
Colombia,Mateus Uribe,Centrocampista,Club América,,,
Colombia,Carlos Bacca,Delantero,Villarreal,,,
Colombia,Miguel Borja,Delantero,Palmeiras,,,
Colombia,Radamel Falcaó,Delantero,Mónaco,,,
Colombia,José Heriberto Izquierdo,Delantero,Brighton,,,
Colombia,Luis Fernando Muriel,Delantero,Sevilla,,,
Japan,Eiji Kawashima,Arquero,FC Metz,,,
Japan,Masaaki Higashiguchi,Arquero,Gamba Osaka,,,
Japan,Kosuke Nakamura,Arquero,Kashima Antlers,,,
Japan,Yuto Nagatomo,Defensa,Galatasaray,,,
Japan,Tomoaki Makino,Defensa,Urawa Reds,,,
Japan,Maya Yoshida,Defensa,Southampton,,,
Japan,Hiroki Sakai,Defensa,Olympique Marsella,,,
Japan,Gotoku Sakai,Defensa,Hamburgo,,,
Japan,Gen Shoji,Defensa,Kashima Antlers,,,
Japan,Wataru Endo,Defensa,Urawa Reds,,,
Japan,Naomichi Ueda,Defensa,Kashima Antlers,,,
Japan,Makoto Hasebe,Centrocampista,Eintracht Fráncfort,,,
Japan,Keisuke Honda,Centrocampista,Pachuca,,,
Japan,Takashi Inui,Centrocampista,Eibar,,,
Japan,Hotaru Yamaguchi,Centrocampista,Cerezo Osaka,,,
Japan,Shinji Kagawa,Centrocampista,Dortmund,,,
Japan,Genki Haraguchi,Centrocampista,Dusseldorf,,,
Japan,Takashi Usami,Centrocampista,Dusseldorf,,,
Japan,Gaku Shibasaki,Centrocampista,Getafe,,,
Japan,Ryota Ohshima,Centrocampista,Kawasaki Frontale,,,
Japan,Shinji Okazaki,Delantero,Leicester,,,
Japan,Yuya Osako,Delantero,Werder Bremen,,,
Japan,Yoshinori Muto,Delantero,Mainz,,,
